id,playerName,playerAge,playerPosition,playerHeight,playerWeight
1628369,Jayson Tatum,26,F-G,203,95
201950,Jrue Holiday,33,G,193,92
1627759,Jaylen Brown,27,G-F,198,101
204001,Kristaps Porzingis,28,F-C,218,108
1628401,Derrick White,29,G,193,86
1630202,Payton Pritchard,26,G,185,88
1629052,Oshae Brissett,25,F-G,200,95
1641809,Drew Peterson,24,F,205,92
1631120,JD Davison,21,G,185,88
1630214,Xavier Tillman,25,F,200,111
1641775,Jordan Walsh,20,G,198,92
1630573,Sam Hauser,26,F,200,98
1628436,Luke Kornet,28,C-F,215,113
201143,Al Horford,37,C-F,205,108
1630531,Jaden Springer,21,G,193,91
1629004,Svi Mykhailiuk,26,G-F,200,92
1629674,Neemias Queta,24,C,213,112
1628983,Shai Gilgeous-Alexander,25,G,198,88
1630581,Josh Giddey,21,G,203,97
1629652,Luguentz Dort,25,G,193,99
1631119,Jaylin Williams,21,F,205,108
1631096,Chet Holmgren,22,C-F,215,94
1631114,Jalen Williams,23,G-F,195,95
1630198,Isaiah Joe,24,G,190,74
1630322,Lindy Waters III,26,F,198,95
1631172,Ousmane Dieng,21,F,205,83
1641745,Adam Flagler,24,G,190,81
202687,Bismack Biyombo,31,C,203,115
1641749,Keyontae Johnson,24,F,193,104
1630598,Aaron Wiggins,25,G,195,86
1641717,Cason Wallace,20,G,190,88
1630846,Olivier Sarr,25,C,208,108
202330,Gordon Hayward,34,F,200,102
1629026,Kenrich Williams,29,G-F,198,95
203488,Mike Muscala,32,F-C,208,108
1631128,Christian Braun,23,G,198,99
1629008,Michael Porter Jr.,25,F,208,98
1631124,Julian Strawther,22,G,198,92
1641816,Hunter Tyson,23,F,203,97
203484,Kentavious Caldwell-Pope,31,G,195,92
201599,DeAndre Jordan,35,C,210,120
202704,Reggie Jackson,34,G,187,94
1631212,Peyton Watson,21,G,200,90
203200,Justin Holiday,35,F-G,198,81
1630296,Braxton Key,27,F,203,102
203999,Nikola Jokic,29,C,210,128
1631221,Collin Gillespie,24,G,185,88
1630192,Zeke Nnaji,23,F-C,205,108
1629618,Jalen Pickett,24,G,187,91
1627750,Jamal Murray,27,G,193,97
1630643,Jay Huff,26,C,215,108
1628427,Vlatko Cancar,27,F,203,107
203932,Aaron Gordon,28,F,203,106
1628978,Donte DiVincenzo,27,G,193,92
1631210,Jacob Toppin,24,F,203,90
1630613,Duane Washington Jr.,24,G,187,89
1630540,Miles McBride,23,G,185,88
1628404,Josh Hart,29,G,193,97
1629718,Charlie Brown Jr.,27,G,198,90
1630173,Precious Achiuwa,24,F,203,110
1628384,OG Anunoby,26,F-G,200,108
1629610,DaQuan Jeffries,26,G-F,195,100
1628973,Jalen Brunson,27,G,187,86
1629003,Shake Milton,27,G-F,195,92
202692,Alec Burks,32,G,195,97
1629603,Mamadi Diakite,27,F,205,103
1629011,Mitchell Robinson,26,C-F,213,108
203944,Julius Randle,29,F-C,203,113
202711,Bojan Bogdanovic,35,F,200,102
1630579,Jericho Sims,25,C,208,113
