(id,game_id,team_id,fgm,fga,threeptm,threepta,ftm,fta,offReb,defReb,assists,steals,blocks,tov,fouls,points),
(1,22300061,1610612743,48,91,14,34,9,12,9,33,29,9,6,11,15,119),
(2,22300062,1610612744,36,101,10,43,22,28,18,31,19,11,6,11,23,104),
(3,22300063,1610612737,39,93,5,29,27,33,12,30,24,12,1,12,19,110),
(4,22300064,1610612754,56,107,20,43,11,12,10,41,38,10,8,12,23,143),
(5,22300065,1610612738,37,77,12,39,22,26,7,39,18,6,11,13,22,108),
(6,22300066,1610612745,32,79,12,34,10,16,7,24,19,6,3,18,24,86),
(7,22300067,1610612751,42,84,9,27,20,26,13,37,30,6,6,17,16,113),
(8,22300068,1610612765,41,92,11,32,9,15,17,39,28,3,13,16,23,102),
(9,22300069,1610612750,34,100,8,31,18,22,16,46,20,8,9,14,14,94),
(10,22300070,1610612741,39,94,12,42,14,18,13,29,26,10,3,12,16,104),
(11,22300071,1610612763,38,91,12,43,16,20,8,29,23,8,7,13,19,104),
(12,22300072,1610612758,47,102,19,51,17,20,15,30,29,6,8,11,25,130),
(13,22300073,1610612742,47,99,15,47,17,23,13,35,24,6,3,12,20,126),
(14,22300074,1610612746,47,90,16,34,13,16,14,31,36,11,7,17,20,123),
(15,22300075,1610612749,41,81,11,30,25,36,8,35,20,9,4,14,23,118),
(16,22300076,1610612747,36,84,5,29,23,29,8,34,24,14,7,16,23,100),
(17,22300077,1610612766,33,88,7,28,26,34,11,30,20,13,7,18,23,99),
(18,22300078,1610612743,41,88,14,37,12,18,6,33,27,11,9,17,18,108),
(19,22300079,1610612737,42,87,12,32,24,30,9,35,28,7,6,14,20,120),
(20,22300080,1610612738,45,95,16,39,13,19,16,39,20,7,6,15,19,119),
(21,22300081,1610612739,38,92,12,45,17,23,8,40,20,10,8,13,16,105),
(22,22300082,1610612741,37,99,8,39,22,28,15,37,18,10,5,16,22,104),
(23,22300083,1610612745,52,100,8,32,10,20,11,32,30,7,2,18,26,122),
(24,22300084,1610612751,45,92,21,43,9,10,10,37,30,5,4,15,28,120),
(25,22300085,1610612746,41,77,14,35,22,28,6,30,17,8,6,14,22,118),
(26,22300086,1610612753,36,79,9,28,21,32,10,35,22,10,5,14,16,102),
(27,22300087,1610612744,48,87,14,32,12,14,7,32,32,14,3,19,24,122),
(28,22300088,1610612741,39,93,11,28,13,16,13,20,16,10,5,8,20,102),
