player_id,game_id,mins,fgm,fga,threeptm,threepta,ftm,fta,offReb,defReb,assists,steals,blocks,tov,fouls,points,plus_minus
1627752,22300061,00:29:53,6,8,4,6,2,2,1,2,1,0,1,1,0,18,-14.0
2544,22300061,00:29:01,10,16,1,4,0,1,1,7,5,1,0,0,1,21,7.0
203076,22300061,00:34:09,6,17,1,2,4,4,1,7,4,0,2,2,3,17,-17.0
1630559,22300061,00:31:20,4,11,1,2,5,7,4,4,4,2,0,2,2,14,-14.0
1626156,22300061,00:36:11,4,12,2,5,1,2,0,4,7,1,0,3,3,11,1.0
1629060,22300061,00:14:38,3,10,0,3,0,0,2,1,0,0,0,0,2,6,-8.0
1629216,22300061,00:22:18,3,8,0,4,0,0,1,0,2,1,0,2,3,6,-17.0
1629637,22300061,00:06:54,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-7.0
1629629,22300061,00:17:38,2,4,1,2,2,2,2,2,0,0,1,0,2,7,7.0
1626174,22300061,00:15:28,3,4,0,1,1,2,1,3,0,0,0,1,1,7,2.0
1631108,22300061,00:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1641721,22300061,00:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1629008,22300061,00:30:07,5,13,2,9,0,0,2,10,2,2,0,0,1,12,12.0
203932,22300061,00:34:58,7,11,1,2,0,0,2,5,5,2,1,0,0,15,6.0
203999,22300061,00:36:15,12,22,3,5,2,4,3,10,11,1,1,2,2,29,15.0
203484,22300061,00:36:14,8,12,2,3,2,2,1,1,1,3,1,3,5,20,10.0
1627750,22300061,00:34:14,8,13,3,5,2,2,0,2,6,0,1,1,3,21,3.0
202704,22300061,00:24:04,3,8,2,5,0,0,0,3,1,1,0,2,0,8,11.0
1631212,22300061,00:10:51,1,3,1,3,0,0,0,0,0,0,1,1,1,3,1.0
1630192,22300061,00:11:45,1,3,0,1,2,2,0,0,1,0,0,1,2,4,-3.0
1631128,22300061,00:19:20,2,5,0,1,1,2,1,2,2,0,1,1,1,5,5.0
1631221,22300061,00:00:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1630296,22300061,00:00:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1629618,22300061,00:00:44,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0
1629006,22300062,00:31:38,7,9,1,1,2,2,4,1,1,1,0,2,2,17,2.0
201142,22300062,00:36:47,7,22,1,2,3,5,2,9,3,0,1,2,1,18,0.0
203994,22300062,00:27:52,5,8,1,2,3,3,3,11,3,0,1,1,5,14,2.0
1628960,22300062,00:20:55,0,6,0,5,0,0,3,1,2,0,0,1,2,0,-4.0
1626164,22300062,00:36:58,13,21,3,8,3,3,1,5,8,1,0,6,4,32,5.0
201569,22300062,00:31:39,4,16,2,9,0,0,1,3,1,1,1,1,2,10,6.0
1629234,22300062,00:19:14,1,3,0,0,2,4,2,5,2,0,3,3,3,4,-2.0
1629139,22300062,00:17:53,3,5,2,4,0,0,0,4,0,0,1,1,2,8,7.0
1630692,22300062,00:14:11,1,4,0,1,0,0,1,3,3,1,0,2,0,2,7.0
1629642,22300062,00:02:53,1,1,1,1,0,0,0,1,0,1,0,0,1,3,-3.0
202691,22300062,00:36:16,6,18,3,11,0,0,1,6,3,0,1,3,3,15,9.0
203952,22300062,00:27:17,4,12,0,3,2,3,1,0,0,0,1,0,3,10,-22.0
1626172,22300062,00:27:58,3,6,0,0,1,1,5,6,1,0,0,2,2,7,-11.0
101108,22300062,00:34:13,4,15,0,6,6,7,1,5,9,2,0,1,0,14,5.0
201939,22300062,00:30:45,8,20,4,14,7,7,1,4,1,1,0,2,5,27,-9.0
1630228,22300062,00:20:08,4,8,0,0,4,6,3,3,1,2,1,2,5,12,4.0
1627780,22300062,00:21:40,0,5,0,2,1,2,0,2,2,3,0,0,1,1,15.0
1630541,22300062,00:17:59,4,6,2,4,1,2,1,2,0,3,1,1,1,11,-6.0
203967,22300062,00:20:02,3,11,1,3,0,0,4,3,1,0,2,0,3,7,7.0
202709,22300062,00:03:42,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-12.0
1629631,22300063,00:30:60,4,9,1,4,0,1,2,2,1,0,0,0,6,9,-13.0
1630180,22300063,00:28:51,6,12,1,4,2,2,3,2,0,5,0,2,1,15,-2.0
203991,22300063,00:28:38,6,10,0,0,3,4,6,7,0,1,0,2,1,15,-19.0
1627749,22300063,00:32:44,3,14,0,3,5,6,0,2,6,0,0,1,0,11,-15.0
1629027,22300063,00:36:01,4,19,1,9,14,15,0,1,9,1,0,5,3,23,-11.0
203992,22300063,00:24:26,3,9,1,5,0,0,0,4,4,3,0,0,1,7,6.0
1630552,22300063,00:29:24,9,13,1,3,2,4,0,7,2,2,1,0,1,21,8.0
1631100,22300063,00:09:36,1,2,0,1,0,0,0,2,0,0,0,1,1,2,2.0
1630168,22300063,00:19:20,3,5,0,0,1,1,1,3,2,0,0,1,5,7,14.0
202330,22300063,00:33:20,4,8,0,1,2,3,3,5,7,1,1,6,1,10,15.0
1629023,22300063,00:31:48,12,18,1,6,0,0,1,4,2,0,0,1,4,25,5.0
1631109,22300063,00:29:55,5,6,0,0,3,3,4,11,1,3,1,2,2,13,19.0
1626179,22300063,00:34:21,7,16,2,7,8,12,1,4,6,0,0,3,2,24,14.0
1630163,22300063,00:30:47,4,15,4,11,3,4,1,5,10,1,0,3,3,15,7.0
1641706,22300063,00:24:37,5,9,3,7,0,0,0,3,2,0,0,1,3,13,-13.0
1630550,22300063,00:20:07,2,7,1,3,0,0,1,1,1,0,0,0,0,5,2.0
1630208,22300063,00:18:03,2,2,0,0,3,4,1,3,1,0,1,2,3,7,-14.0
1630177,22300063,00:16:19,2,5,0,2,0,0,0,3,4,0,0,1,3,4,-5.0
1641733,22300063,00:00:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1628398,22300064,00:24:52,9,18,1,4,6,6,1,1,0,0,2,0,0,25,-10.0
1630166,22300064,00:20:40,4,8,0,0,1,2,2,5,5,1,0,2,0,9,-15.0
1629655,22300064,00:21:03,2,2,0,0,2,4,1,4,0,0,2,0,5,6,-23.0
1629673,22300064,00:26:19,7,18,0,6,4,5,0,2,5,1,1,4,1,18,-12.0
1626145,22300064,00:28:20,7,12,2,4,0,1,1,2,6,1,1,2,1,16,-17.0
1626153,22300064,00:25:19,3,8,1,1,1,1,1,5,6,3,0,0,1,8,-15.0
1630557,22300064,00:24:27,4,11,1,5,2,2,2,3,1,0,0,1,1,11,-8.0
201568,22300064,00:17:10,4,7,2,2,6,6,2,1,0,0,0,0,1,16,5.0
1641731,22300064,00:23:08,1,3,1,1,0,0,0,4,3,0,3,3,1,3,-13.0
203488,22300064,00:08:10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-8.0
1630647,22300064,00:07:46,2,3,0,0,0,0,1,1,1,0,0,1,0,4,-2.0
1631157,22300064,00:06:00,0,3,0,0,1,2,0,3,1,0,0,1,0,1,-1.0
1631116,22300064,00:03:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
1630215,22300064,00:03:23,1,2,1,1,0,0,0,0,0,0,0,0,0,3,2.0
1631097,22300064,00:25:50,6,15,2,6,4,4,0,4,5,2,0,2,1,18,14.0
1630167,22300064,00:19:14,4,9,2,5,1,1,1,3,1,1,0,0,0,11,7.0
1626167,22300064,00:23:20,5,8,0,2,1,2,0,8,1,0,3,2,4,11,14.0
1628971,22300064,00:27:12,8,11,6,8,2,2,1,2,1,1,0,1,3,24,15.0
