id,teamName,cityName,wins_losses,division_id
1610612738,Celtics,Boston,64-18,1
1610612760,Thunder,Oklahoma City,57-25,4
1610612743,Nuggets,Denver,57-25,4
1610612752,Knicks,New York,50-32,1
1610612749,Bucks,Milwaukee,49-33,2
1610612750,Timberwolves,Minnesota,56-26,4
1610612739,Cavaliers,Cleveland,48-34,2
1610612746,Clippers,LA,51-31,5
1610612742,Mavericks,Dallas,50-32,6
1610612753,Magic,Orlando,47-35,3
1610612754,Pacers,Indiana,47-35,2
1610612756,Suns,Phoenix,49-33,5
1610612740,Pelicans,New Orleans,49-33,6
1610612755,76ers,Philadelphia,47-35,1
1610612747,Lakers,Los Angeles,47-35,5
1610612748,Heat,Miami,46-36,3
1610612741,Bulls,Chicago,39-43,2
1610612758,Kings,Sacramento,46-36,5
1610612737,Hawks,Atlanta,36-46,3
1610612744,Warriors,Golden State,46-36,5
1610612745,Rockets,Houston,41-41,6
1610612751,Nets,Brooklyn,32-50,1
1610612761,Raptors,Toronto,25-57,1
1610612762,Jazz,Utah,31-51,4
1610612763,Grizzlies,Memphis,27-55,6
1610612766,Hornets,Charlotte,21-61,3
1610612759,Spurs,San Antonio,22-60,6
1610612764,Wizards,Washington,15-67,3
1610612757,Trail Blazers,Portland,21-61,4
1610612765,Pistons,Detroit,14-68,2
